"filename", "language", "Properties", "Python", "Batch", "HTML", "Markdown", "C++", "PowerShell", "pip requirements", "Visual Basic", "XSL", "JavaScript", "JSON", "reStructuredText", "C", "Shell Script", "XML", "comment", "blank", "total"
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attrs\converters.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attrs\exceptions.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attrs\filters.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attrs\setters.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\attrs\validators.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\automat\__init__.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\automat\_core.py", "Python", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 33, 166
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\automat\_discover.py", "Python", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 26, 145
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\automat\_introspection.py", "Python", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 47
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\automat\_methodical.py", "Python", 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 67, 473
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\automat\_test\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\automat\_test\test_core.py", "Python", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 18, 87
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\automat\_test\test_discover.py", "Python", 0, 273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 245, 89, 607
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\automat\_test\test_methodical.py", "Python", 0, 448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 83, 632
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\automat\_test\test_trace.py", "Python", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 99
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\automat\_test\test_visualize.py", "Python", 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 84, 435
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\automat\_visualize.py", "Python", 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 31, 183
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\certifi\__init__.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\certifi\__main__.py", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\certifi\core.py", "Python", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 20, 109
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\__init__.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 15
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\_cffi_errors.h", "C++", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 23, 150
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\_cffi_include.h", "C++", 0, 0, 0, 0, 0, 310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 42, 386
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\_embedding.h", "C++", 0, 0, 0, 0, 0, 311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 68, 551
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\_imp_emulation.py", "Python", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 84
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\_shimmed_dist_utils.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 42
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\api.py", "Python", 0, 627, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 276, 63, 966
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\backend_ctypes.py", "Python", 0, 953, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 140, 1122
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\cffi_opcode.py", "Python", 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 188
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\commontypes.py", "Python", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 81
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\cparser.py", "Python", 0, 799, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 46, 1007
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\error.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 32
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\ffiplatform.py", "Python", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 114
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\lock.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 31
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\model.py", "Python", 0, 483, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 102, 619
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\parse_c_type.h", "C++", 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20, 182
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\pkgconfig.py", "Python", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 19, 122
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\recompiler.py", "Python", 0, 1303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 127, 1582
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\setuptools_ext.py", "Python", 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 26, 217
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\cffi\vengine_cpy.py", "Python", 0, 807, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 179, 92, 1078
